id,name,address,lat,lng,hours,quick,slow
4701,웅전공영주차장,제주특별자치도 제주시 노형동 2515-2,33.48261951,126.4720019,24시간,2,0
4702,제주특별자치도 복지이음마루,제주특별자치도 제주시 오라삼동 2747-2,33.49271912,126.5029526,24시간,1,0
4703,제주시민속오일시장 3주차장,제주특별자치도 제주시 도두일동 1212,33.49637604,126.4763708,24시간,4,0
4704,제주아트센터,제주특별자치도 제주시 오라이동 898-8,33.47712149,126.5154599,24시간,4,0
4706,천지공영주차장,제주특별자치도 서귀포시 서귀동 305-1,33.25152782,126.5592891,24시간,2,0
4707,표선공영주차장,제주특별자치도 서귀포시 표선면 표선리 701,33.32635425,126.8317567,24시간,3,0
4724,고스트타운,제주특별자치도 제주시 애월읍 신엄리 2880-12,33.47583497,126.356562,24시간,5,0
4755,동광리버스차고지,제주특별자치도 서귀포시 안덕면 동광리 826-2,33.311869,126.342535,24시간,2,0
4756,남원공영주차장,제주특별자치도 서귀포시 남원읍 남원리 83-2,33.27917281,126.7211247,24시간,1,0
4757,농업기술원,제주특별자치도 서귀포시 강정동 3458,33.26121751,126.4890889,24시간,2,0
4763,위더스빌16차,제주특별자치도 제주시 이도이동 1961-6,33.49360419,126.5462352,24시간  ※외부인 개방,0,1
5014,SK렌터카 제주지점,제주특별자치도 제주시 용담이동 723,33.50387326,126.5010715,SK전용(타고객 이용불가),25,0
5291,포항산업과학연구원 철제주차장,경상북도 포항시 남구 효자동 산 32,36.009437,129.322905,24시간,0,0
5440,제주교도소,제주특별자치도 제주시 오라이동 161,33.46281013,126.5146844,24시간,3,0
5445,테크노파크 용암해수센터,제주특별자치도 제주시 구좌읍 한동리 4849-9,33.54108942,126.816158,24시간,1,0
5446,제주해녀박물관,제주특별자치도 제주시 구좌읍 하도리 3204-1,33.52321701,126.8627389,24시간,3,0
5447,제주소년원,제주특별자치도 제주시 애월읍 소길리 산194-5,33.40838097,126.3860662,24시간,2,0
5450,제주국가생약자원관리센터,제주특별자치도 서귀포시 상효동 2072,33.30558316,126.5704046,24시간,4,0
5585,에코라운지,제주특별자치도 서귀포시 상예동 2676,33.26491167,126.3886066,24시간,5,0
